epoch,train_loss,val_loss,best_val_loss,best_epoch
1,1008124674.2310113,751619020.8,751619020.8,1
2,1008122556.4444444,751617452.8,751617452.8,2
3,1008120490.6666666,751616998.4,751616998.4,3
4,1008118921.6945665,751615667.2,751615667.2,4
5,1008117303.4666667,751614387.2,751614387.2,5
6,1008116334.9333333,751614041.6,751614041.6,6
7,1008115151.6444445,751612902.4,751612902.4,7
8,1008114273.0263346,751612876.8,751612876.8,8
9,1008113424.3555555,751612160.0,751612160.0,9
10,1008112615.8222222,751611596.8,751611596.8,10
11,1008111741.4050782,751611328.0,751611328.0,11
12,1008110991.2154622,751611161.6,751611161.6,12
13,1008110536.5333333,751611212.8,751611161.6,12
14,1008110786.8444444,751610752.0,751610752.0,14
15,1008114860.8,751613440.0,751610752.0,14
16,1008109350.4,751610393.6,751610393.6,16
17,1008109146.3121419,751610611.2,751610393.6,16
18,1008109536.7111111,751610521.6,751610393.6,16
19,1008108406.7555555,751610240.0,751610240.0,19
20,1008108113.0666667,751610316.8,751610240.0,19
21,1008108955.0222223,751610304.0,751610240.0,19
22,1008107634.4888889,751610624.0,751610240.0,19
23,1008108484.2666667,751610240.0,751610240.0,19
24,1008107319.4666667,751612019.2,751610240.0,19
25,1008107790.2222222,751610470.4,751610240.0,19
26,1008107102.459375,751610406.4,751610240.0,19
27,1008106988.8,751610572.8,751610240.0,19
28,1008107015.1111112,751610572.8,751610240.0,19
29,1008106641.875,751610867.2,751610240.0,19
30,1008106518.0444444,751610624.0,751610240.0,19
31,1008106540.0888889,751610931.2,751610240.0,19
32,1008106414.9333333,751610892.8,751610240.0,19
33,1008106851.5555556,751610777.6,751610240.0,19
34,1008106901.3442274,751610816.0,751610240.0,19
35,1008106262.0444444,751610931.2,751610240.0,19
36,1008106281.2444445,751611955.2,751610240.0,19
37,1008109139.9111111,751610956.8,751610240.0,19
38,1008107709.1555556,751610995.2,751610240.0,19
39,1008106331.937869,751611212.8,751610240.0,19
40,1008107368.416493,751614361.6,751610240.0,19
41,1008106212.2666667,751611110.4,751610240.0,19
42,1008105924.1222222,751611392.0,751610240.0,19
43,1008108610.8444444,751611673.6,751610240.0,19
44,1008106386.8334635,751611827.2,751610240.0,19
45,1008105989.6888889,751611571.2,751610240.0,19
46,1008106584.8888888,751612518.4,751610240.0,19
47,1008106350.9333333,751611596.8,751610240.0,19
48,1008105871.6444445,751612032.0,751610240.0,19
49,1008106562.1333333,751613529.6,751610240.0,19
50,1008106432.6564236,751613491.2,751610240.0,19
51,1008106501.6888889,751611929.6,751610240.0,19
52,1008106032.3555555,751611750.4,751610240.0,19
53,1008105939.9111111,751615628.8,751610240.0,19
54,1008105965.5111111,751618432.0,751610240.0,19
55,1008105773.5111111,751613184.0,751610240.0,19
56,1008105783.4666667,751612326.4,751610240.0,19
57,1008105730.8444444,751613158.4,751610240.0,19
58,1008105895.7927083,751612032.0,751610240.0,19
59,1008105823.2888889,751612185.6,751610240.0,19
60,1008106072.1777778,751611968.0,751610240.0,19
61,1008106092.0888889,751612236.8,751610240.0,19
62,1008105571.5555556,751612134.4,751610240.0,19
63,1008106343.8222222,751612211.2,751610240.0,19
64,1008106155.3777778,751612364.8,751610240.0,19
65,1008105730.8444444,751612441.6,751610240.0,19
66,1008105762.2803819,751612134.4,751610240.0,19
67,1008108928.7111111,751612800.0,751610240.0,19
68,1008105653.3333334,751612416.0,751610240.0,19
69,1008105700.9777777,751626291.2,751610240.0,19
70,1008105853.8666667,751612492.8,751610240.0,19
71,1008106633.9555556,751612096.0,751610240.0,19
72,1008106896.3555555,751612288.0,751610240.0,19
73,1008105578.6666666,751612198.4,751610240.0,19
74,1008105762.8444444,751612313.6,751610240.0,19
75,1008105731.5555556,751612416.0,751610240.0,19
76,1008106888.5333333,751612428.8,751610240.0,19
77,1008105537.5804688,751612416.0,751610240.0,19
78,1008106099.9111111,751612518.4,751610240.0,19
79,1008105813.3333334,751612313.6,751610240.0,19
80,1008106653.8666667,751612390.4,751610240.0,19
81,1008106082.1333333,751612326.4,751610240.0,19
82,1008105897.8097222,751612608.0,751610240.0,19
83,1008105844.6222222,751612288.0,751610240.0,19
84,1008107710.8717881,751614476.8,751610240.0,19
85,1008107221.3333334,751612748.8,751610240.0,19
86,1008105666.8444444,751612531.2,751610240.0,19
87,1008106349.5111111,751612300.8,751610240.0,19
88,1008106069.3333334,751612441.6,751610240.0,19
89,1008105873.0666667,751612492.8,751610240.0,19
90,1008105757.8666667,751612595.2,751610240.0,19
91,1008106307.0084201,751613414.4,751610240.0,19
92,1008105778.4888889,751613209.6,751610240.0,19
93,1008105648.3555555,751613030.4,751610240.0,19
94,1008105751.4666667,751612467.2,751610240.0,19
95,1008106053.6888889,751612672.0,751610240.0,19
96,1008105907.2,751613120.0,751610240.0,19
97,1008106119.1111112,751613491.2,751610240.0,19
98,1008106214.4,751618304.0,751610240.0,19
99,1008106326.7555555,751612979.2,751610240.0,19
100,1008105514.6666666,751637107.2,751610240.0,19
