save_dir: checkpoints/ardae/gaussian_001
requested_save_dir already existed; using: checkpoints/ardae/gaussian_001
device: cuda
data: datasets/processed/bsd400_patches_8x8.npy
raw_data_shape: (204800, 64)
epoch 0001/0100 train_loss=0.959699 val_loss=0.888580 best_val=0.888580@0001
epoch 0002/0100 train_loss=0.770845 val_loss=0.619443 best_val=0.619443@0002
epoch 0003/0100 train_loss=0.496306 val_loss=0.380020 best_val=0.380020@0003
epoch 0004/0100 train_loss=0.320460 val_loss=0.281807 best_val=0.281807@0004
epoch 0005/0100 train_loss=0.271818 val_loss=0.269459 best_val=0.269459@0005
epoch 0006/0100 train_loss=0.266183 val_loss=0.266492 best_val=0.266492@0006
epoch 0007/0100 train_loss=0.262494 val_loss=0.262379 best_val=0.262379@0007
epoch 0008/0100 train_loss=0.258784 val_loss=0.258416 best_val=0.258416@0008
epoch 0009/0100 train_loss=0.254639 val_loss=0.254120 best_val=0.254120@0009
epoch 0010/0100 train_loss=0.250510 val_loss=0.251148 best_val=0.251148@0010
epoch 0011/0100 train_loss=0.247086 val_loss=0.247346 best_val=0.247346@0011
epoch 0012/0100 train_loss=0.243572 val_loss=0.244062 best_val=0.244062@0012
epoch 0013/0100 train_loss=0.240860 val_loss=0.241784 best_val=0.241784@0013
epoch 0014/0100 train_loss=0.238645 val_loss=0.239385 best_val=0.239385@0014
epoch 0015/0100 train_loss=0.236565 val_loss=0.237831 best_val=0.237831@0015
epoch 0016/0100 train_loss=0.234571 val_loss=0.234539 best_val=0.234539@0016
epoch 0017/0100 train_loss=0.233135 val_loss=0.234169 best_val=0.234169@0017
epoch 0018/0100 train_loss=0.231706 val_loss=0.234092 best_val=0.234092@0018
epoch 0019/0100 train_loss=0.230435 val_loss=0.232146 best_val=0.232146@0019
epoch 0020/0100 train_loss=0.229400 val_loss=0.231034 best_val=0.231034@0020
epoch 0021/0100 train_loss=0.228539 val_loss=0.230586 best_val=0.230586@0021
epoch 0022/0100 train_loss=0.227577 val_loss=0.229825 best_val=0.229825@0022
epoch 0023/0100 train_loss=0.226912 val_loss=0.228947 best_val=0.228947@0023
epoch 0024/0100 train_loss=0.226106 val_loss=0.228369 best_val=0.228369@0024
epoch 0025/0100 train_loss=0.225626 val_loss=0.227597 best_val=0.227597@0025
epoch 0026/0100 train_loss=0.224837 val_loss=0.227179 best_val=0.227179@0026
epoch 0027/0100 train_loss=0.224403 val_loss=0.225768 best_val=0.225768@0027
epoch 0028/0100 train_loss=0.223476 val_loss=0.225174 best_val=0.225174@0028
epoch 0029/0100 train_loss=0.222831 val_loss=0.224717 best_val=0.224717@0029
epoch 0030/0100 train_loss=0.222454 val_loss=0.225024 best_val=0.224717@0029
epoch 0031/0100 train_loss=0.222118 val_loss=0.224478 best_val=0.224478@0031
epoch 0032/0100 train_loss=0.221531 val_loss=0.222589 best_val=0.222589@0032
epoch 0033/0100 train_loss=0.221042 val_loss=0.222896 best_val=0.222589@0032
epoch 0034/0100 train_loss=0.220793 val_loss=0.223547 best_val=0.222589@0032
epoch 0035/0100 train_loss=0.220376 val_loss=0.221443 best_val=0.221443@0035
epoch 0036/0100 train_loss=0.220096 val_loss=0.222465 best_val=0.221443@0035
epoch 0037/0100 train_loss=0.220021 val_loss=0.221431 best_val=0.221431@0037
epoch 0038/0100 train_loss=0.219283 val_loss=0.221263 best_val=0.221263@0038
epoch 0039/0100 train_loss=0.219048 val_loss=0.221208 best_val=0.221208@0039
epoch 0040/0100 train_loss=0.219066 val_loss=0.220876 best_val=0.220876@0040
epoch 0041/0100 train_loss=0.218406 val_loss=0.220782 best_val=0.220782@0041
epoch 0042/0100 train_loss=0.218195 val_loss=0.220366 best_val=0.220366@0042
epoch 0043/0100 train_loss=0.218011 val_loss=0.220168 best_val=0.220168@0043
epoch 0044/0100 train_loss=0.217194 val_loss=0.220179 best_val=0.220168@0043
epoch 0045/0100 train_loss=0.217222 val_loss=0.219662 best_val=0.219662@0045
epoch 0046/0100 train_loss=0.217141 val_loss=0.219670 best_val=0.219662@0045
epoch 0047/0100 train_loss=0.216827 val_loss=0.219338 best_val=0.219338@0047
epoch 0048/0100 train_loss=0.216677 val_loss=0.218765 best_val=0.218765@0048
epoch 0049/0100 train_loss=0.216242 val_loss=0.218431 best_val=0.218431@0049
epoch 0050/0100 train_loss=0.215784 val_loss=0.217942 best_val=0.217942@0050
epoch 0051/0100 train_loss=0.215682 val_loss=0.217630 best_val=0.217630@0051
epoch 0052/0100 train_loss=0.215659 val_loss=0.217494 best_val=0.217494@0052
epoch 0053/0100 train_loss=0.215289 val_loss=0.217580 best_val=0.217494@0052
epoch 0054/0100 train_loss=0.215187 val_loss=0.218566 best_val=0.217494@0052
epoch 0055/0100 train_loss=0.215016 val_loss=0.217381 best_val=0.217381@0055
epoch 0056/0100 train_loss=0.214823 val_loss=0.216962 best_val=0.216962@0056
epoch 0057/0100 train_loss=0.214512 val_loss=0.216777 best_val=0.216777@0057
epoch 0058/0100 train_loss=0.214411 val_loss=0.215838 best_val=0.215838@0058
epoch 0059/0100 train_loss=0.214072 val_loss=0.215623 best_val=0.215623@0059
epoch 0060/0100 train_loss=0.213755 val_loss=0.217142 best_val=0.215623@0059
epoch 0061/0100 train_loss=0.213826 val_loss=0.216277 best_val=0.215623@0059
epoch 0062/0100 train_loss=0.213656 val_loss=0.215040 best_val=0.215040@0062
epoch 0063/0100 train_loss=0.213576 val_loss=0.215919 best_val=0.215040@0062
epoch 0064/0100 train_loss=0.213440 val_loss=0.215387 best_val=0.215040@0062
epoch 0065/0100 train_loss=0.213201 val_loss=0.215476 best_val=0.215040@0062
epoch 0066/0100 train_loss=0.213350 val_loss=0.214935 best_val=0.214935@0066
epoch 0067/0100 train_loss=0.212711 val_loss=0.215513 best_val=0.214935@0066
epoch 0068/0100 train_loss=0.212614 val_loss=0.214571 best_val=0.214571@0068
epoch 0069/0100 train_loss=0.212578 val_loss=0.214990 best_val=0.214571@0068
epoch 0070/0100 train_loss=0.212434 val_loss=0.215258 best_val=0.214571@0068
epoch 0071/0100 train_loss=0.212062 val_loss=0.214367 best_val=0.214367@0071
epoch 0072/0100 train_loss=0.212072 val_loss=0.215036 best_val=0.214367@0071
epoch 0073/0100 train_loss=0.212012 val_loss=0.214230 best_val=0.214230@0073
epoch 0074/0100 train_loss=0.212203 val_loss=0.213976 best_val=0.213976@0074
epoch 0075/0100 train_loss=0.211989 val_loss=0.214266 best_val=0.213976@0074
epoch 0076/0100 train_loss=0.211860 val_loss=0.213885 best_val=0.213885@0076
epoch 0077/0100 train_loss=0.211595 val_loss=0.214522 best_val=0.213885@0076
epoch 0078/0100 train_loss=0.211325 val_loss=0.213489 best_val=0.213489@0078
epoch 0079/0100 train_loss=0.211147 val_loss=0.213841 best_val=0.213489@0078
epoch 0080/0100 train_loss=0.211161 val_loss=0.213447 best_val=0.213447@0080
epoch 0081/0100 train_loss=0.210969 val_loss=0.213399 best_val=0.213399@0081
epoch 0082/0100 train_loss=0.210857 val_loss=0.213393 best_val=0.213393@0082
epoch 0083/0100 train_loss=0.210793 val_loss=0.212670 best_val=0.212670@0083
epoch 0084/0100 train_loss=0.210812 val_loss=0.213887 best_val=0.212670@0083
epoch 0085/0100 train_loss=0.210626 val_loss=0.213356 best_val=0.212670@0083
epoch 0086/0100 train_loss=0.210563 val_loss=0.213010 best_val=0.212670@0083
epoch 0087/0100 train_loss=0.210489 val_loss=0.212722 best_val=0.212670@0083
epoch 0088/0100 train_loss=0.210336 val_loss=0.212360 best_val=0.212360@0088
epoch 0089/0100 train_loss=0.210272 val_loss=0.212967 best_val=0.212360@0088
epoch 0090/0100 train_loss=0.210214 val_loss=0.212902 best_val=0.212360@0088
epoch 0091/0100 train_loss=0.209860 val_loss=0.212276 best_val=0.212276@0091
epoch 0092/0100 train_loss=0.209937 val_loss=0.212804 best_val=0.212276@0091
epoch 0093/0100 train_loss=0.209813 val_loss=0.212557 best_val=0.212276@0091
epoch 0094/0100 train_loss=0.209610 val_loss=0.212228 best_val=0.212228@0094
epoch 0095/0100 train_loss=0.209623 val_loss=0.212207 best_val=0.212207@0095
epoch 0096/0100 train_loss=0.209599 val_loss=0.212460 best_val=0.212207@0095
epoch 0097/0100 train_loss=0.209611 val_loss=0.211744 best_val=0.211744@0097
epoch 0098/0100 train_loss=0.209204 val_loss=0.211310 best_val=0.211310@0098
epoch 0099/0100 train_loss=0.209239 val_loss=0.212347 best_val=0.211310@0098
epoch 0100/0100 train_loss=0.209491 val_loss=0.211947 best_val=0.211310@0098
saved last checkpoint: checkpoints/ardae/gaussian_001/last.pt
saved best checkpoint: checkpoints/ardae/gaussian_001/best.pt
saved metrics: checkpoints/ardae/gaussian_001/metrics.csv
