save_dir: checkpoints/ardae/poisson_001
requested_save_dir already existed; using: checkpoints/ardae/poisson_001
device: cuda
data: datasets/processed/bsd400_patches_8x8.npy
raw_data_shape: (204800, 64)
epoch 0001/0100 train_loss=0.127892 val_loss=0.033255 best_val=0.033255@0001
epoch 0002/0100 train_loss=0.018068 val_loss=0.014065 best_val=0.014065@0002
epoch 0003/0100 train_loss=0.013235 val_loss=0.012870 best_val=0.012870@0003
epoch 0004/0100 train_loss=0.012560 val_loss=0.012331 best_val=0.012331@0004
epoch 0005/0100 train_loss=0.012512 val_loss=0.013865 best_val=0.012331@0004
epoch 0006/0100 train_loss=0.012056 val_loss=0.011481 best_val=0.011481@0006
epoch 0007/0100 train_loss=0.011188 val_loss=0.010971 best_val=0.010971@0007
epoch 0008/0100 train_loss=0.011530 val_loss=0.010993 best_val=0.010971@0007
epoch 0009/0100 train_loss=0.010004 val_loss=0.009516 best_val=0.009516@0009
epoch 0010/0100 train_loss=0.009110 val_loss=0.008686 best_val=0.008686@0010
epoch 0011/0100 train_loss=0.008369 val_loss=0.008887 best_val=0.008686@0010
epoch 0012/0100 train_loss=0.008295 val_loss=0.007267 best_val=0.007267@0012
epoch 0013/0100 train_loss=0.006804 val_loss=0.006457 best_val=0.006457@0013
epoch 0014/0100 train_loss=0.006107 val_loss=0.005866 best_val=0.005866@0014
epoch 0015/0100 train_loss=0.006106 val_loss=0.005315 best_val=0.005315@0015
epoch 0016/0100 train_loss=0.005073 val_loss=0.004858 best_val=0.004858@0016
epoch 0017/0100 train_loss=0.005046 val_loss=0.004529 best_val=0.004529@0017
epoch 0018/0100 train_loss=0.004399 val_loss=0.004275 best_val=0.004275@0018
epoch 0019/0100 train_loss=0.004148 val_loss=0.004081 best_val=0.004081@0019
epoch 0020/0100 train_loss=0.003998 val_loss=0.004111 best_val=0.004081@0019
epoch 0021/0100 train_loss=0.004269 val_loss=0.003925 best_val=0.003925@0021
epoch 0022/0100 train_loss=0.003831 val_loss=0.003798 best_val=0.003798@0022
epoch 0023/0100 train_loss=0.003787 val_loss=0.003829 best_val=0.003798@0022
epoch 0024/0100 train_loss=0.004215 val_loss=0.003857 best_val=0.003798@0022
epoch 0025/0100 train_loss=0.003769 val_loss=0.003755 best_val=0.003755@0025
epoch 0026/0100 train_loss=0.003705 val_loss=0.003769 best_val=0.003755@0025
epoch 0027/0100 train_loss=0.003798 val_loss=0.003989 best_val=0.003755@0025
epoch 0028/0100 train_loss=0.003879 val_loss=0.003767 best_val=0.003755@0025
epoch 0029/0100 train_loss=0.003752 val_loss=0.003733 best_val=0.003733@0029
epoch 0030/0100 train_loss=0.003842 val_loss=0.004239 best_val=0.003733@0029
epoch 0031/0100 train_loss=0.003842 val_loss=0.003694 best_val=0.003694@0031
epoch 0032/0100 train_loss=0.003707 val_loss=0.003739 best_val=0.003694@0031
epoch 0033/0100 train_loss=0.003863 val_loss=0.004022 best_val=0.003694@0031
epoch 0034/0100 train_loss=0.003784 val_loss=0.003773 best_val=0.003694@0031
epoch 0035/0100 train_loss=0.003775 val_loss=0.003906 best_val=0.003694@0031
epoch 0036/0100 train_loss=0.003738 val_loss=0.003681 best_val=0.003681@0036
epoch 0037/0100 train_loss=0.004069 val_loss=0.004601 best_val=0.003681@0036
epoch 0038/0100 train_loss=0.003834 val_loss=0.003689 best_val=0.003681@0036
epoch 0039/0100 train_loss=0.003642 val_loss=0.003666 best_val=0.003666@0039
epoch 0040/0100 train_loss=0.003672 val_loss=0.003955 best_val=0.003666@0039
epoch 0041/0100 train_loss=0.004034 val_loss=0.003703 best_val=0.003666@0039
epoch 0042/0100 train_loss=0.003661 val_loss=0.003680 best_val=0.003666@0039
epoch 0043/0100 train_loss=0.003756 val_loss=0.003718 best_val=0.003666@0039
epoch 0044/0100 train_loss=0.003690 val_loss=0.003854 best_val=0.003666@0039
epoch 0045/0100 train_loss=0.003845 val_loss=0.003664 best_val=0.003664@0045
epoch 0046/0100 train_loss=0.003697 val_loss=0.003969 best_val=0.003664@0045
epoch 0047/0100 train_loss=0.003778 val_loss=0.003720 best_val=0.003664@0045
epoch 0048/0100 train_loss=0.003698 val_loss=0.003757 best_val=0.003664@0045
epoch 0049/0100 train_loss=0.003740 val_loss=0.003860 best_val=0.003664@0045
epoch 0050/0100 train_loss=0.004018 val_loss=0.003731 best_val=0.003664@0045
epoch 0051/0100 train_loss=0.003658 val_loss=0.003674 best_val=0.003664@0045
epoch 0052/0100 train_loss=0.003660 val_loss=0.003744 best_val=0.003664@0045
epoch 0053/0100 train_loss=0.003772 val_loss=0.003756 best_val=0.003664@0045
epoch 0054/0100 train_loss=0.003700 val_loss=0.003723 best_val=0.003664@0045
epoch 0055/0100 train_loss=0.003872 val_loss=0.003858 best_val=0.003664@0045
epoch 0056/0100 train_loss=0.003676 val_loss=0.003671 best_val=0.003664@0045
epoch 0057/0100 train_loss=0.003668 val_loss=0.003730 best_val=0.003664@0045
epoch 0058/0100 train_loss=0.003725 val_loss=0.003884 best_val=0.003664@0045
epoch 0059/0100 train_loss=0.003899 val_loss=0.003732 best_val=0.003664@0045
epoch 0060/0100 train_loss=0.003642 val_loss=0.003696 best_val=0.003664@0045
epoch 0061/0100 train_loss=0.003655 val_loss=0.003709 best_val=0.003664@0045
epoch 0062/0100 train_loss=0.003832 val_loss=0.004037 best_val=0.003664@0045
epoch 0063/0100 train_loss=0.003758 val_loss=0.003695 best_val=0.003664@0045
epoch 0064/0100 train_loss=0.003636 val_loss=0.003671 best_val=0.003664@0045
epoch 0065/0100 train_loss=0.003689 val_loss=0.003791 best_val=0.003664@0045
epoch 0066/0100 train_loss=0.003736 val_loss=0.003750 best_val=0.003664@0045
epoch 0067/0100 train_loss=0.003701 val_loss=0.003768 best_val=0.003664@0045
epoch 0068/0100 train_loss=0.003671 val_loss=0.003690 best_val=0.003664@0045
epoch 0069/0100 train_loss=0.003706 val_loss=0.003784 best_val=0.003664@0045
epoch 0070/0100 train_loss=0.003665 val_loss=0.003677 best_val=0.003664@0045
epoch 0071/0100 train_loss=0.003728 val_loss=0.003911 best_val=0.003664@0045
epoch 0072/0100 train_loss=0.003749 val_loss=0.003699 best_val=0.003664@0045
epoch 0073/0100 train_loss=0.003632 val_loss=0.003638 best_val=0.003638@0073
epoch 0074/0100 train_loss=0.003753 val_loss=0.003718 best_val=0.003638@0073
epoch 0075/0100 train_loss=0.003631 val_loss=0.003662 best_val=0.003638@0073
epoch 0076/0100 train_loss=0.003685 val_loss=0.003740 best_val=0.003638@0073
epoch 0077/0100 train_loss=0.003686 val_loss=0.003736 best_val=0.003638@0073
epoch 0078/0100 train_loss=0.003739 val_loss=0.003660 best_val=0.003638@0073
epoch 0079/0100 train_loss=0.003640 val_loss=0.003698 best_val=0.003638@0073
epoch 0080/0100 train_loss=0.003664 val_loss=0.003677 best_val=0.003638@0073
epoch 0081/0100 train_loss=0.003678 val_loss=0.003848 best_val=0.003638@0073
epoch 0082/0100 train_loss=0.003693 val_loss=0.003648 best_val=0.003638@0073
epoch 0083/0100 train_loss=0.003634 val_loss=0.003713 best_val=0.003638@0073
epoch 0084/0100 train_loss=0.003668 val_loss=0.003672 best_val=0.003638@0073
epoch 0085/0100 train_loss=0.003646 val_loss=0.003728 best_val=0.003638@0073
epoch 0086/0100 train_loss=0.003715 val_loss=0.003688 best_val=0.003638@0073
epoch 0087/0100 train_loss=0.003632 val_loss=0.003625 best_val=0.003625@0087
epoch 0088/0100 train_loss=0.003623 val_loss=0.003718 best_val=0.003625@0087
epoch 0089/0100 train_loss=0.003667 val_loss=0.003720 best_val=0.003625@0087
epoch 0090/0100 train_loss=0.003621 val_loss=0.003657 best_val=0.003625@0087
epoch 0091/0100 train_loss=0.003659 val_loss=0.003728 best_val=0.003625@0087
epoch 0092/0100 train_loss=0.003635 val_loss=0.003671 best_val=0.003625@0087
epoch 0093/0100 train_loss=0.003617 val_loss=0.003668 best_val=0.003625@0087
epoch 0094/0100 train_loss=0.003655 val_loss=0.003667 best_val=0.003625@0087
epoch 0095/0100 train_loss=0.003596 val_loss=0.003616 best_val=0.003616@0095
epoch 0096/0100 train_loss=0.003614 val_loss=0.003625 best_val=0.003616@0095
epoch 0097/0100 train_loss=0.003627 val_loss=0.003632 best_val=0.003616@0095
epoch 0098/0100 train_loss=0.003604 val_loss=0.003623 best_val=0.003616@0095
epoch 0099/0100 train_loss=0.003597 val_loss=0.003613 best_val=0.003613@0099
epoch 0100/0100 train_loss=0.003639 val_loss=0.003645 best_val=0.003613@0099
saved last checkpoint: checkpoints/ardae/poisson_001/last.pt
saved best checkpoint: checkpoints/ardae/poisson_001/best.pt
saved metrics: checkpoints/ardae/poisson_001/metrics.csv
